audio_file,class,id,candidate1_ko,candidate1_en,candidate2_ko,candidate2_en,candidate3_ko,candidate3_en,candidate4_ko,candidate4_en,candidate5_ko,candidate5_en
15_ (1).mp3,15,1,띠 디 디 디 디 디 디 디 딩,TTI DI DI DI DI DI DI DI DING,우 우 우 우 우 우 우 웃,U U U U U U U UT,삐 리 리 릴 웅 응 웅 응 삐 리 릴 릭,PPI RI RI RIL UNG EUNG UNG EUNG PPI RI RIL RIK,삘 리 리 리 릴 릴 리 릴 릴 리 우 웅 우 웅 우 웅 우 웅 웅 우,PPIL RI RI RI RIL RIL RI RIL RIL RI U UNG U UNG U UNG U UNG UNG U,삐 빅 삐 비 빅 삐 빅,PPI BIK PPI BI BIK PPI BIK
15_ (10).mp3,15,10,똥 둥 당 동 둥 당 동 당,TTONG DUNG DANG DONG DUNG DANG DONG DANG,뚱 뜽 땅 뜨 땅,TTUNG TTEUNG TTANG TTEU TTANG,띵 동 띵 동 띵 동 동 띵,TTING DONG TTING DONG TTING DONG DONG TTING,똥 또 롱 똥 또 동,TTONG TTO RONG TTONG TTO DONG,동 동 당 동 당,DONG DONG DANG DONG DANG
15_ (100).mp3,15,100,이 요 오 오 오,I YO O O O,꺄 오 옭 얅,KKYA O OL YAL,따 우 욱,TTA U UK,에 오 옹 옹 왕 옹 왕 이 약,E O ONG ONG WANG ONG WANG I YAK,웨 오 아,WE O A
15_ (11).mp3,15,11,위 우 위 우 뚜 뚠,WI U WI U TTU TTUN,텅 당 따 위,TEONG DANG TTA WI,브 륑 브 륑 브 뤼 링,BEU RWING BEU RWING BEU RWI RING,삥 뽕 삥 뽕 띠 라,PPING PPONG PPING PPONG TTI RA,뚜 당 투 다 앙,TTU DANG TU DA ANG
15_ (12).mp3,15,12,딴 단 딴 단,TTAN DAN TTAN DAN,뜔 룰 룰 루 뜔 룰 루 루,TTYUL RUL RUL RU TTYUL RUL RU RU,띠 로 리 로 띠 로 리 로,TTI RO RI RO TTI RO RI RO,삥 봉 봉 삥 봉 위 읭 읭,PPING BONG BONG PPING BONG WI UING UING,삥 봉 삥 봉 빙,PPING BONG PPING BONG BING
15_ (13).mp3,15,13,또 동,TTO DONG,띠 링,TTI RING,또 링,TTO RING,삐 링,PPI RING,띠 동,TTI DONG
15_ (14).mp3,15,14,띠 디 딩 디 디 딩,TTI DI DING DI DI DING,부 드 드 드 타 락 탁,BU DEU DEU DEU TA RAK TAK,뜨 르 릉 뜨 르 르 릉,TTEU REU REUNG TTEU REU REU REUNG,봉 똥 똥 빙 똥 똥 봉,BONG TTONG TTONG BING TTONG TTONG BONG,띵 띠 링 띵,TTING TTI RING TTING
15_ (15).mp3,15,15,삐 립 우 우 웅,PPI RIB U U UNG,뜨 러 뜨 으 으 으,TTEU REO TTEU EU EU EU,띠 로 링,TTI RO RING,쁴 리 이 입 지 잉 지 이 잉,PPUI RI I IB JI ING JI I ING,삐 리 이 이 이 우 우 우 웅,PPI RI I I I U U U UNG
15_ (17).mp3,15,17,삐 로 삐 로 삐 로,PPI RO PPI RO PPI RO,삐 뽀 삐 뽀 삐 뽀,PPI PPO PPI PPO PPI PPO,삐 로 리 로 리 로 리 로,PPI RO RI RO RI RO RI RO,삐 로 삐 로 삐 로,PPI RO PPI RO PPI RO,삐 요 삐 요 삐 요,PPI YO PPI YO PPI YO
15_ (18).mp3,15,18,따 라 라 라 라 라 라 랑,TTA RA RA RA RA RA RA RANG,뜨 르 뜨 르 뜨 르 뜨 르 뜨 르 뜨 르,TTEU REU TTEU REU TTEU REU TTEU REU TTEU REU TTEU REU,삐 리 리 리 리 리 삐 리 리,PPI RI RI RI RI RI PPI RI RI,띠 르 르 띠 르 르 르 띠 르 르 띠 르 르,TTI REU REU TTI REU REU REU TTI REU REU TTI REU REU,삐 를 를 르 르 르 르 르 르 를,PPI REUL REUL REU REU REU REU REU REU REUL
15_ (19).mp3,15,19,삐 리 리 리 리 리 리,PPI RI RI RI RI RI RI,삐 리 리 리 리 리 리 리,PPI RI RI RI RI RI RI RI,쀠 리 쀠 리 쀠 리 쀠 리,PPWI RI PPWI RI PPWI RI PPWI RI,삐 리 리 리 삐 리 리 리 삐 리 리 리 삐 리 리 리,PPI RI RI RI PPI RI RI RI PPI RI RI RI PPI RI RI RI,삐 비 비 비 비 비 삐 익 크,PPI BI BI BI BI BI PPI IK KEU
15_ (2).mp3,15,2,똔 또 론 띤 띠 딘,TTON TTO RON TTIN TTI DIN,뗘 옹 뗘 옹 띵 띠 링,TTYEO ONG TTYEO ONG TTING TTI RING,띠 링 띠 링 뜨 릉 뜨 릉,TTI RING TTI RING TTEU REUNG TTEU REUNG,삐 롱 삐 빕 빰 빠 랍,PPI RONG PPI BIB PPAM PPA RAB,또 릿 또 릿 딴 따 란,TTO RIT TTO RIT TTAN TTA RAN
15_ (20).mp3,15,20,삐 리 리 리 리 삐 리 리 리 리,PPI RI RI RI RI PPI RI RI RI RI,뺘 라 라 라 라 라 라,PPYA RA RA RA RA RA RA,쀠 리 리 리 리 쀠 리 리,PPWI RI RI RI RI PPWI RI RI,삐 릴 리 리 삐 릴 리 리 삐 릴 리 리,PPI RIL RI RI PPI RIL RI RI PPI RIL RI RI,삘 릴 릴 릴 릴 릴 릴 리,PPIL RIL RIL RIL RIL RIL RIL RI
15_ (21).mp3,15,21,삐 로 롱 삐 로 롱,PPI RO RONG PPI RO RONG,뾰 로 록 뾰 로 로 록,PPYO RO ROK PPYO RO RO ROK,삐 로 로 롱 삐 로 로 롱,PPI RO RO RONG PPI RO RO RONG,삐 로 리 롱 삐 로 리 롱,PPI RO RI RONG PPI RO RI RONG,또 옹 또 옹 또 옹 또 옹,TTO ONG TTO ONG TTO ONG TTO ONG
15_ (22).mp3,15,22,호 로 호 로 호 로 호 로 호,HO RO HO RO HO RO HO RO HO,까 라 라 랄 랄 라 라,KKA RA RA RAL RAL RA RA,삐 로 리 로 리 로 리 로 리 로 리,PPI RO RI RO RI RO RI RO RI RO RI,히 오 히 오 히 오 히 오 히 오 히 오 히 오 히 히,HI O HI O HI O HI O HI O HI O HI O HI HI,이 요 이 요 이 요 이 요 이 요 이 요 용,I YO I YO I YO I YO I YO I YO YONG
15_ (23).mp3,15,23,뚜 우 우 웅,TTU U U UNG,큐 르 르 르 르,KYU REU REU REU REU,또 리 리 릭,TTO RI RI RIK,뚜 르 르 르 으,TTU REU REU REU EU,뽀 로 롭,PPO RO ROB
15_ (24).mp3,15,24,또 디 다 당 또 디 다 당 뚜 우 우 우,TTO DI DA DANG TTO DI DA DANG TTU U U U,뜨 르 륵 락 뜨 르 르 락 트 르 르 르 릇,TTEU REU REUK RAK TTEU REU REU RAK TEU REU REU REU REUT,띠 로 롱 띠 로 롱 뽀 르 르 르 릉,TTI RO RONG TTI RO RONG PPO REU REU REU REUNG,띵 똥 똥 똥 봉 똥 똥 똥 띵 똥 똥 동 봉 똥 똥 똥 뚜 르 르,TTING TTONG TTONG TTONG BONG TTONG TTONG TTONG TTING TTONG TTONG DONG BONG TTONG TTONG TTONG TTU REU REU,동 구 땅 구 동 구 땅 구 두 오 오 옹,DONG GU TTANG GU DONG GU TTANG GU DU O O ONG
15_ (25).mp3,15,25,또 오 오 옵 워 너 테 익 원 써 원 씨,TTO O O OB WO NEO TE IK WON SSEO WON SSI,또 로 로 로 로 로 로 워 즈 크 원 쎼 서,TTO RO RO RO RO RO RO WO JEU KEU WON SSYE SEO,뛰 리 리 리 리,TTWI RI RI RI RI,삐 로 로 로 뗑 뎅 헤 이 테 컬 룩 마 사 즤,PPI RO RO RO TTENG DENG HE I TE KEOL RUK MA SA JUI,또 로 로 로 로 롱,TTO RO RO RO RO RONG
15_ (26).mp3,15,26,띠 리 리 리 리 릭,TTI RI RI RI RI RIK,띨 릴 리 리 리 리,TTIL RIL RI RI RI RI,따 르 르 르 르 릉,TTA REU REU REU REU REUNG,삐 리 삐 리 삐 리 삐 리 삐 립,PPI RI PPI RI PPI RI PPI RI PPI RIB,삘 릴 릴 릴 릴 릴 리,PPIL RIL RIL RIL RIL RIL RI
15_ (27).mp3,15,27,삐 리 리 리 리 리 리,PPI RI RI RI RI RI RI,삘 릴 릴 리 리 리 리 리,PPIL RIL RIL RI RI RI RI RI,띠 리 리 리 리 띠 리 링 링,TTI RI RI RI RI TTI RI RING RING,삘 릴 릴 릴 릴 릴 리 릴,PPIL RIL RIL RIL RIL RIL RI RIL,삐 릴 리 릴 리 링,PPI RIL RI RIL RI RING
15_ (28).mp3,15,28,뚜 루 루 루 뚜 루 루 루 뚜 루 루 루,TTU RU RU RU TTU RU RU RU TTU RU RU RU,띨 릴 리 띨 릴 리 띨 릴 리,TTIL RIL RI TTIL RIL RI TTIL RIL RI,삐 리 릭 삐 리 릭 삐 리 릭,PPI RI RIK PPI RI RIK PPI RI RIK,뽀 로 로 롱 뽀 로 로 롱 뽀 로 로 롱,PPO RO RO RONG PPO RO RO RONG PPO RO RO RONG,삐 리 리 리 링 삐 리 리 릭 삐 리 리 링,PPI RI RI RI RING PPI RI RI RIK PPI RI RI RING
15_ (29).mp3,15,29,띠 리 리 띠 리 리 띠 리 리,TTI RI RI TTI RI RI TTI RI RI,띨 릴 리 띨 릴 리 띨 릴 리,TTIL RIL RI TTIL RIL RI TTIL RIL RI,뚜 루 루 뚜 루 루 뚜 루 루 루,TTU RU RU TTU RU RU TTU RU RU RU,삐 로 로 삐 로 로 삐 로 로,PPI RO RO PPI RO RO PPI RO RO,똘 릴 릴 릭 똘 릴 릴 릭 똘 릴 릴 릭,TTOL RIL RIL RIK TTOL RIL RIL RIK TTOL RIL RIL RIK
15_ (3).mp3,15,3,뚠 뚠 뚠 뚠 뚠 뚠 뚠 뚠 띤,TTUN TTUN TTUN TTUN TTUN TTUN TTUN TTUN TTIN,트 텨 트 텨 트 텨 트 텨,TEU TYEO TEU TYEO TEU TYEO TEU TYEO,띵 띵 띠 링 띠 링 띵 띵 땅,TTING TTING TTI RING TTI RING TTING TTING TTANG,빙 봉 빙 봉 빙 봉 빙 봉 빙,BING BONG BING BONG BING BONG BING BONG BING,띡 딕 띡 딕 띡 딕 띡 딕 탕,TTIK DIK TTIK DIK TTIK DIK TTIK DIK TANG
15_ (30).mp3,15,30,투 루 루 루 투 루 루 루 투 루 루 루,TU RU RU RU TU RU RU RU TU RU RU RU,들 를 르 들 르 르 들 를 르,DEUL REUL REU DEUL REU REU DEUL REUL REU,쁘 르 륵 쁘 르 륵 쁘 르 륵,PPEU REU REUK PPEU REU REUK PPEU REU REUK,삐 리 리 삐 리 리 삐 로,PPI RI RI PPI RI RI PPI RO,삘 릴 릭 삘 릴 릭 삘 릴 릭,PPIL RIL RIK PPIL RIL RIK PPIL RIL RIK
15_ (31).mp3,15,31,또 로 론 딴 또 로 론 딴,TTO RO RON TTAN TTO RO RON TTAN,뵤 로 로 뵤 록 룍 됴 로 로 됴 룍 됵,BYO RO RO BYO ROK RYOK DYO RO RO DYO RYOK DYOK,뜨 르 르 릉 쁘 르 르 릉 으,TTEU REU REU REUNG PPEU REU REU REUNG EU,삐 로 리 뤙 웅 삐 로 리 뤙 엉,PPI RO RI RWONG UNG PPI RO RI RWONG EONG,모 륵 모 르 륵 모 륵 모 르 륵,MO REUK MO REU REUK MO REUK MO REU REUK
15_ (32).mp3,15,32,빠 보 로 바 비 리 리,PPA BO RO BA BI RI RI,삐 요 드 러 로 비 록 로,PPI YO DEU REO RO BI ROK RO,띠 로 띠 로 리 로 롱 띠 로 로,TTI RO TTI RO RI RO RONG TTI RO RO,빙 보 로 봉 후 왕 호 옹,BING BO RO BONG HU WANG HO ONG,띠 도 로 로 로 롱 뽀 로 롱,TTI DO RO RO RO RONG PPO RO RONG
15_ (33).mp3,15,33,띠 링 또 리 띠 링,TTI RING TTO RI TTI RING,띠 로 때 로 리 리,TTI RO TTAE RO RI RI,따 라 라 라 히 따 힉,TTA RA RA RA HI TTA HIK,삐 리 삐 리 삐 링,PPI RI PPI RI PPI RING,띠 리 리 리 리 링,TTI RI RI RI RI RING
15_ (34).mp3,15,34,두 두 두 둔 두 두 두 둔,DU DU DU DUN DU DU DU DUN,뜨 를 릉 랑,TTEU REUL REUNG RANG,뜨 르 르 띡,TTEU REU REU TTIK,또 도 도 동 또 도 도 동,TTO DO DO DONG TTO DO DO DONG,딩 딩 딩 동,DING DING DING DONG
15_ (35).mp3,15,35,뚠 띠 띠 띠 띤,TTUN TTI TTI TTI TTIN,걍 뜨 드 드 드 댜,GYANG TTEU DEU DEU DEU DYA,빰 빠 라 라 밤,PPAM PPA RA RA BAM,화 앙 또 도 도 동,HWA ANG TTO DO DO DONG,타 악 롤 롤 롤 락,TA AK ROL ROL ROL RAK
15_ (36).mp3,15,36,뚜 도 도 띤,TTU DO DO TTIN,됴 됴 도 도 도 띠,DYO DYO DO DO DO TTI,뜽 드 릉 딩,TTEUNG DEU REUNG DING,딩 도 롱 동,DING DO RONG DONG,딩 도 로 롱 딩,DING DO RO RONG DING
15_ (37).mp3,15,37,또 로 롱 땅,TTO RO RONG TTANG,띠 러 르 땅,TTI REO REU TTANG,빠 빠 빠 밤,PPA PPA PPA BAM,홍 도 로 도 동,HONG DO RO DO DONG,삥 삐 비 비 빙,PPING PPI BI BI BING
15_ (38).mp3,15,38,카 톡 왔 숑,KA TOK WAT SYONG,카 톡 왓 숑,KA TOK WAT SYONG,문 자 왔 숑,MUN JA WAT SYONG,카 톡 왔 쎵,KA TOK WAT SSYEONG,카 톡 왓 숑,KA TOK WAT SYONG
15_ (39).mp3,15,39,그 그 극 기 기 긱 삐 이 삐 이 삐 이,GEU GEU GEUK GI GI GIK PPI I PPI I PPI I,쿠 두 두 둑 뜨 뜨 뜨 피 악 피 악 쳑 쳑,KU DU DU DUK TTEU TTEU TTEU PI AK PI AK CHYEOK CHYEOK,쁘 르 르 리 릭 뽁 삑 삑 삑,PPEU REU REU RI RIK PPOK PPIK PPIK PPIK,삐 비 비 빅 찌 찌 지 직 삑 삑 찍 찍,PPI BI BI BIK JJI JJI JI JIK PPIK PPIK JJIK JJIK,브 브 븝 바 밥 밥 꺄 옥 깨 옥 꺠 옥,BEU BEU BEUB BA BAB BAB KKYA OK KKAE OK KKYAE OK
15_ (4).mp3,15,4,똥 또 롱 띠 기 다 라 다 라 링,TTONG TTO RONG TTI GI DA RA DA RA RING,떠 띠 따 로 따 롤 롤 리,TTEO TTI TTA RO TTA ROL ROL RI,띠 링 띠 리 리 링,TTI RING TTI RI RI RING,띵 도 로 로 롱 보 롱 보 로 로 롱,TTING DO RO RO RONG BO RONG BO RO RO RONG,호 로 롱 릴 리 롱 롱,HO RO RONG RIL RI RONG RONG
15_ (40).mp3,15,40,치 히 치 히 치 히 치 히 치 히,CHI HI CHI HI CHI HI CHI HI CHI HI,카 차 카 차 카 차 카 차 카 차 카,KA CHA KA CHA KA CHA KA CHA KA CHA KA,타 르 르 륵 타 르 르 륵,TA REU REU REUK TA REU REU REUK,치 이 익 덜 덜 덜 덜 덜 덜 덜 덜,CHI I IK DEOL DEOL DEOL DEOL DEOL DEOL DEOL DEOL,죠 고 죠 고 죠 고 죠 고 죠 고 죠 고 죠 고 죠 고,JYO GO JYO GO JYO GO JYO GO JYO GO JYO GO JYO GO JYO GO
15_ (41).mp3,15,41,삐 끼 긱 삐 끼 긱 오 우,PPI KKI GIK PPI KKI GIK O U,카 크 카 카 쯔 어 엉,KA KEU KA KA JJEU EO EONG,쿠 쿠 쿵 쿠 쿠 쿵 쿠 우 우 웅,KU KU KUNG KU KU KUNG KU U U UNG,위 잉 에 엥 에 엥,WI ING E ENG E ENG,뽀 뽀 뽀 뽀 뽀 오 옹,PPO PPO PPO PPO PPO O ONG
15_ (42).mp3,15,42,우 후 우 후 우 우 우,U HU U HU U U U,띠 뵤 오 오 오 오 후,TTI BYO O O O O HU,뿌 왜 애 애 애 애 애 앵,PPU WAE AE AE AE AE AE AENG,휘 이 에 에 엥 에 엥,HWI I E E ENG E ENG,다 가 도 오 오 오 오 옥,DA GA DO O O O O OK
15_ (43).mp3,15,43,띠 로 리 로 리 로 리 링,TTI RO RI RO RI RO RI RING,띠 로 리 또 로 리 리 로,TTI RO RI TTO RO RI RI RO,띠 로 롱 띠 로 로 로 링,TTI RO RONG TTI RO RO RO RING,삐 로 뤙 삐 로 롱 삐 로 뤼 롱,PPI RO RWONG PPI RO RONG PPI RO RWI RONG,디 기 리 리 리 리 리 리 라 라,DI GI RI RI RI RI RI RI RA RA
15_ (44).mp3,15,44,똥 도 로 딩,TTONG DO RO DING,쳐 터 렁 랑,CHYEO TEO REONG RANG,띵 디 디 디 딩,TTING DI DI DI DING,동 도 로 동,DONG DO RO DONG,땡 딩 동,TTAENG DING DONG
15_ (45).mp3,15,45,띠 디 디 딘,TTI DI DI DIN,뚀 로 뚕 땅,TTYO RO TTYONG TTANG,띵 디 기 띵,TTING DI GI TTING,삥 뽀 로 봉,PPING PPO RO BONG,똥 디 리 롱,TTONG DI RI RONG
15_ (46).mp3,15,46,통 딩 당 딩 통 딩,TONG DING DANG DING TONG DING,뚜 루 따 루 뚜 라,TTU RU TTA RU TTU RA,띵 똥 똥 똥 띵 똥 똥 띵,TTING TTONG TTONG TTONG TTING TTONG TTONG TTING,띵 동 동 띵 동 동 동 동,TTING DONG DONG TTING DONG DONG DONG DONG,동 동 동 동 동,DONG DONG DONG DONG DONG
15_ (47).mp3,15,47,띠 도 도 돈,TTI DO DO DON,됴 릉 댱,DYO REUNG DYANG,똥 디 디 딩,TTONG DI DI DING,띵 도 롱 동,TTING DO RONG DONG,동 도 로 링,DONG DO RO RING
15_ (48).mp3,15,48,휘 이 이 휘 이 이,HWI I I HWI I I,휘 이 이 이 휘 잉,HWI I I I HWI ING,휘 이 이 이 이 이 유 우 우,HWI I I I I I YU U U,삐 이 이 휘 이 이 잇,PPI I I HWI I I IT,오 에,O E
15_ (49).mp3,15,49,띠 리 리 리 리 리 리 리 리 리 릭,TTI RI RI RI RI RI RI RI RI RI RIK,띠 리 리 리 리 리 리 리,TTI RI RI RI RI RI RI RI,뜨 르 르 르 릉,TTEU REU REU REU REUNG,띠 리 리 리 리 리 이 이 이 띠 리 이 이 이 이 이 이,TTI RI RI RI RI RI I I I TTI RI I I I I I I,삘 릴 릴 리 릴 리 리,PPIL RIL RIL RI RIL RI RI
15_ (5).mp3,15,5,또 란 띤 또 다 안,TTO RAN TTIN TTO DA AN,쿠 화 어 하 어 헤,KU HWA EO HA EO HE,뜨 링 뜨 르 릉 띠 링,TTEU RING TTEU REU REUNG TTI RING,화 앙 화 라 라 앙 화 앙 하 아,HWA ANG HWA RA RA ANG HWA ANG HA A,딩 디 리 딩 동,DING DI RI DING DONG
15_ (50).mp3,15,50,뚜 루 리 리 리 리 리,TTU RU RI RI RI RI RI,즈 르 르 르 릉,JEU REU REU REU REUNG,삐 리 리 리 리 리 링,PPI RI RI RI RI RI RING,삐 리 리 리 리 리 리 삐 리 리 리 리 삐 리 리 리 리 리,PPI RI RI RI RI RI RI PPI RI RI RI RI PPI RI RI RI RI RI,삐 이 이 삐 이 이 이,PPI I I PPI I I I
15_ (51).mp3,15,51,위 오 뛰 로 록,WI O TTWI RO ROK,뿔 루 띠 잉,PPUL RU TTI ING,띵 똥 띠 로 로 링,TTING TTONG TTI RO RO RING,삥 뽀 로 로 롱,PPING PPO RO RO RONG,웅 두 뚜 르 르,UNG DU TTU REU REU
15_ (52).mp3,15,52,삥 빙,PPING BING,뾰 빠,PPYO PPA,븡 뷩,BEUNG BWING,삥 뽕,PPING PPONG,부 잉 뽀 엉,BU ING PPO EONG
15_ (53).mp3,15,53,뜨 당 당 드 등 딩 딩,TTEU DANG DANG DEU DEUNG DING DING,뜨 러 르 러 로 뜨 르 르 뜨 르 르 르,TTEU REO REU REO RO TTEU REU REU TTEU REU REU REU,드 릉 딩 동 드 리 리 링,DEU REUNG DING DONG DEU RI RI RING,띵 도 롱 동 똥 동 동 동 도 로 로 롱,TTING DO RONG DONG TTONG DONG DONG DONG DO RO RO RONG,둥 댕 당 당 둥 당 당,DUNG DAENG DANG DANG DUNG DANG DANG
15_ (54).mp3,15,54,띠 딩 딩 딩 딩 딩 딩 딩,TTI DING DING DING DING DING DING DING,또 로 따 로 또 로 로 라 라 랑,TTO RO TTA RO TTO RO RO RA RA RANG,따 랑 따 랑 따 라 라 라,TTA RANG TTA RANG TTA RA RA RA,띵 동 띠 리 도 로 롱 띠 링 또 로 롱,TTING DONG TTI RI DO RO RONG TTI RING TTO RO RONG,딩 동 당 동 랭 딩 동 동,DING DONG DANG DONG RAENG DING DONG DONG
15_ (55).mp3,15,55,띵 또 고 동 띠 기 딩,TTING TTO GO DONG TTI GI DING,띵 뜨 릉 땅 뗴 릉,TTING TTEU REUNG TTANG TTYE REUNG,팅 띠 리 리 링 띠 리 링,TING TTI RI RI RING TTI RI RING,띵 빙 보 롱 빙 봉 봉,TTING BING BO RONG BING BONG BONG,삐 잉 띵 땅 똥 땅 땡,PPI ING TTING TTANG TTONG TTANG TTAENG
15_ (56).mp3,15,56,똔 도 론 딘,TTON DO RON DIN,뗘 뚀 로 랑,TTYEO TTYO RO RANG,똥 디 디 딩,TTONG DI DI DING,띙 도 롱 동,TTUING DO RONG DONG,띵 도 로 롱,TTING DO RO RONG
15_ (57).mp3,15,57,따 도 디 딘 또 라 란,TTA DO DI DIN TTO RA RAN,츄 루 랑 쳐 렁,CHYU RU RANG CHYEO REONG,삐 로 리 링 삐 로 링,PPI RO RI RING PPI RO RING,또 로 또 동 띠 도 도 도 도 독,TTO RO TTO DONG TTI DO DO DO DO DOK,당 디 리 리 링 당 딩 덩,DANG DI RI RI RING DANG DING DEONG
15_ (58).mp3,15,58,티 기 딩 도 로 링 디 링,TI GI DING DO RO RING DI RING,키 링 커 랑 캉,KI RING KEO RANG KANG,따 르 릉 따 르 릉 따 르 릉,TTA REU REUNG TTA REU REUNG TTA REU REUNG,뜅 또 로 로 롱 또 로 로 또 로 롱,TTWING TTO RO RO RONG TTO RO RO TTO RO RONG,또 뤼 링 똥 랑 랑,TTO RWI RING TTONG RANG RANG
15_ (59).mp3,15,59,삐 리 리 삐 리 리 삐 리 리,PPI RI RI PPI RI RI PPI RI RI,띨 릴 릴 리 띠 릭 띠 릭,TTIL RIL RIL RI TTI RIK TTI RIK,삐 리 리 릭 삐 리 리 릭 삐 리 리 리 릭,PPI RI RI RIK PPI RI RI RIK PPI RI RI RI RIK,삐 리 리 삐 리 리 삐 리 리,PPI RI RI PPI RI RI PPI RI RI,띨 링 링 띨 링 링 띨 링 링,TTIL RING RING TTIL RING RING TTIL RING RING
15_ (6).mp3,15,6,뚜 랑 띠 리 리 따 라 란,TTU RANG TTI RI RI TTA RA RAN,떠 렁 띵 땅 떠 렁,TTEO REONG TTING TTANG TTEO REONG,빰 빠 바 밤 밤,PPAM PPA BA BAM BAM,띵 또 롱 동 봉 봥,TTING TTO RONG DONG BONG BWANG,응 탕 당 당 당 당,EUNG TANG DANG DANG DANG DANG
15_ (60).mp3,15,60,띠 로 동,TTI RO DONG,삐 뽀 로,PPI PPO RO,띵 링 링,TTING RING RING,띵 또 롱,TTING TTO RONG,빙 당 동,BING DANG DONG
15_ (61).mp3,15,61,띠 도 동,TTI DO DONG,띠 또 또,TTI TTO TTO,띵 땡 똥,TTING TTAENG TTONG,삐 로 롱,PPI RO RONG,뚜 뚜 뚜,TTU TTU TTU
15_ (62).mp3,15,62,띠 로 롱,TTI RO RONG,땨 떠 또,TTYA TTEO TTO,띠 로 로 롱,TTI RO RO RONG,띵 동 동,TTING DONG DONG,삐 데 동,PPI DE DONG
15_ (63).mp3,15,63,띵 똑 똑,TTING TTOK TTOK,띠 로 또 또,TTI RO TTO TTO,띵 등 동,TTING DEUNG DONG,삥 뽀 롱 뽕,PPING PPO RONG PPONG,딩 랑 동,DING RANG DONG
15_ (64).mp3,15,64,삑 뽁 빡,PPIK PPOK PPAK,띠 링 띵 똥,TTI RING TTING TTONG,띵 띵 띵,TTING TTING TTING,삐 링 삐 링 뽀 롱,PPI RING PPI RING PPO RONG,삥 뽕 뺑,PPING PPONG PPAENG
15_ (65).mp3,15,65,띡 딱 똑,TTIK TTAK TTOK,꺄 랑 땽 텅,KKYA RANG TTYANG TEONG,띵 댕 동,TTING DAENG DONG,삐 립 뽀 롭 뽀 롭,PPI RIB PPO ROB PPO ROB,뛰 옹 또 잉 뙹,TTWI ONG TTO ING TTOENG
15_ (66).mp3,15,66,삐 뽀 뽀 삐 뽀 삐,PPI PPO PPO PPI PPO PPI,떠 띠 띠 띠 띠 띠 떠 띠 띠 띠 띠 띠,TTEO TTI TTI TTI TTI TTI TTEO TTI TTI TTI TTI TTI,또 또 또 또 띠 띠 또 또 또 또 띠 띠,TTO TTO TTO TTO TTI TTI TTO TTO TTO TTO TTI TTI,뽀 삐 뽀 삐 뽀 삐 뽀 삐 뽀 삐 뽀 삐,PPO PPI PPO PPI PPO PPI PPO PPI PPO PPI PPO PPI,또 따 따 따 떼 띠 또 따 따 따 떼 띠,TTO TTA TTA TTA TTE TTI TTO TTA TTA TTA TTE TTI
15_ (67).mp3,15,67,띠 로 띠 리 띤 딘 똔,TTI RO TTI RI TTIN DIN TTON,띠 로 리 로 또 라 로,TTI RO RI RO TTO RA RO,띠 리 리 리 리 링 링,TTI RI RI RI RI RING RING,삐 로 리 로 삐 로 로,PPI RO RI RO PPI RO RO,삐 로 로 로 롱 로 롱,PPI RO RO RO RONG RO RONG
15_ (68).mp3,15,68,뚱 띠 딩 뚜 둥 띠 디 따 단,TTUNG TTI DING TTU DUNG TTI DI TTA DAN,뜌 류 뜌 듀 듀 듀 듀 듀 텨 타,TTYU RYU TTYU DYU DYU DYU DYU DYU TYEO TA,둥 두 둥 두 둥 두 둥,DUNG DU DUNG DU DUNG DU DUNG,보 봉 보 봉 보 롱 도 독 보 봉,BO BONG BO BONG BO RONG DO DOK BO BONG,둥 둥 둥 둥 붕 붕 붕 붕 둠 둠,DUNG DUNG DUNG DUNG BUNG BUNG BUNG BUNG DUM DUM
15_ (69).mp3,15,69,또 둔 뚜 둔 뚜 둔 뚜 둔 뚜 둔,TTO DUN TTU DUN TTU DUN TTU DUN TTU DUN,큐 듀 큐 듀 큐 듀 드 더,KYU DYU KYU DYU KYU DYU DEU DEO,뷩 붕 붕 붕 븡 뷩 븡 븡 븡 빙,BWING BUNG BUNG BUNG BEUNG BWING BEUNG BEUNG BEUNG BING,봥 봥 봥 봥 봥 봥 봥 봥 봥 봥,BWANG BWANG BWANG BWANG BWANG BWANG BWANG BWANG BWANG BWANG,짜 종 종 종 짜 종 종 증 장,JJA JONG JONG JONG JJA JONG JONG JEUNG JANG
15_ (7).mp3,15,7,딴 뚠 둔 딴 둔,TTAN TTUN DUN TTAN DUN,크 야 오 트 릉 당 트 르 릉,KEU YA O TEU REUNG DANG TEU REU REUNG,삐 리 리 띠 띠 리 링,PPI RI RI TTI TTI RI RING,똥 드 릉 황 황 똥 동 딩 동,TTONG DEU REUNG HWANG HWANG TTONG DONG DING DONG,피 비 피 비 피 비 비 비,PI BI PI BI PI BI BI BI
